Date,Open,High,Low,Close,Adj Close,Volume
2022-08-05,4025.000000,4038.250000,3993.050049,4013.100098,3862.581787,287542
2022-08-08,4013.000000,4039.899902,4000.000000,4022.649902,3871.773193,238574
2022-08-10,4014.000000,4066.000000,4014.000000,4034.850098,3883.515869,218912
2022-08-11,4050.100098,4058.250000,4022.350098,4033.500000,3882.216309,277432
2022-08-12,4033.500000,4060.000000,4013.750000,4038.000000,3886.547607,217139
2022-08-16,4038.000000,4100.000000,4038.000000,4091.149902,3937.704102,302627
2022-08-17,4095.100098,4120.450195,4060.000000,4067.899902,3915.326172,313179
2022-08-18,4079.000000,4079.000000,4040.500000,4060.649902,3908.348145,451908
2022-08-19,4052.000000,4088.449951,4050.000000,4074.550049,3921.726807,223883
2022-08-22,4030.000000,4073.399902,4008.800049,4041.600098,3890.012695,388178
2022-08-23,4025.000000,4072.850098,4016.050049,4064.449951,3912.005615,172256
2022-08-24,4050.449951,4083.949951,4050.449951,4065.750000,3913.256836,245586
2022-08-25,4073.000000,4095.649902,4051.100098,4062.949951,3910.561768,374693
2022-08-26,4075.000000,4124.350098,4041.449951,4054.399902,3902.332520,453561
2022-08-29,4024.949951,4050.000000,3985.500000,4030.050049,3878.895996,608621
2022-08-30,4050.250000,4128.950195,4011.550049,4084.850098,3931.640625,740581
2022-09-01,4010.000000,4131.750000,4010.000000,4076.300049,3923.411133,510034
2022-09-02,4080.000000,4102.799805,4025.399902,4030.899902,3879.713867,556543
2022-09-05,4050.000000,4055.850098,3944.300049,3956.649902,3808.248779,799837
2022-09-06,3962.000000,3990.000000,3919.500000,3929.399902,3782.020752,508096
2022-09-07,3915.000000,3937.500000,3811.199951,3845.649902,3701.411865,724097
2022-09-08,3864.899902,3879.949951,3840.000000,3846.600098,3702.326660,493973
2022-09-09,3865.850098,3880.000000,3835.000000,3848.600098,3704.251709,485613
2022-09-12,3840.000000,3889.800049,3825.000000,3870.300049,3725.137695,369281
2022-09-13,3865.000000,3890.000000,3855.000000,3866.500000,3721.479980,507487
2022-09-14,3815.000000,3918.949951,3811.600098,3850.250000,3705.839600,576311
2022-09-15,3865.000000,3884.600098,3751.350098,3768.000000,3626.674561,351737
2022-09-16,3800.000000,3800.000000,3676.100098,3689.550049,3551.166992,579176
2022-09-19,3700.000000,3731.850098,3661.100098,3708.250000,3569.165527,454942
2022-09-20,3726.800049,3807.899902,3725.000000,3768.600098,3627.252197,268923
2022-09-21,3773.850098,3807.449951,3724.000000,3730.600098,3590.677490,197924
2022-09-22,3720.000000,3760.000000,3700.000000,3728.899902,3589.041016,149651
2022-09-23,3730.000000,3770.000000,3683.000000,3698.899902,3560.166016,158122
2022-09-26,3668.899902,3686.750000,3566.000000,3574.500000,3440.432129,517637
2022-09-27,3590.000000,3594.949951,3510.100098,3541.899902,3409.054688,344198
2022-09-28,3525.000000,3573.899902,3505.000000,3545.899902,3412.904785,181128
2022-09-29,3563.000000,3563.850098,3465.050049,3476.699951,3346.300293,350931
2022-09-30,3486.500000,3553.949951,3461.250000,3527.750000,3395.435547,276996
2022-10-03,3527.750000,3559.899902,3475.000000,3515.350098,3383.500488,442640
2022-10-04,3550.500000,3599.899902,3539.199951,3579.600098,3445.340820,317554
2022-10-06,3597.500000,3617.149902,3570.000000,3594.649902,3459.826416,353529
2022-10-07,3580.050049,3668.899902,3580.000000,3603.550049,3468.392334,591544
2022-10-10,3557.350098,3624.899902,3529.050049,3616.949951,3481.289795,240975
2022-10-11,3635.050049,3635.050049,3519.600098,3528.750000,3396.397949,258827
2022-10-12,3546.399902,3653.000000,3515.850098,3624.500000,3488.556641,496229
2022-10-13,3616.850098,3648.800049,3590.000000,3604.800049,3469.595459,336605
